Application_Type,Signal_Strength,Latency,Required_Bandwidth,Allocated_Bandwidth,Prediction
6.0,-67.10593044,24.05914424,11199.63669,12800.71242,[75.02390552522355]
6.0,-57.73038759,31.52226858,12400.10074,13699.69415,[74.9354677518138]
6.0,-80.16470191,30.53875615,10501.82136,12298.12226,[71.11520523199297]
6.0,-45.71116323,44.28953355,13699.78481,15001.06135,[75.03138868925802]
6.0,-66.50167079,24.17076445,11198.24626,12800.79242,[75.03501668938186]
6.0,-65.27304674,24.15353138,11502.52081,12801.01814,[74.91262177331]
6.0,-55.9955963,36.14720208,12700.83594,14000.24982,[74.91449165726124]
6.0,-66.38215525,24.02421074,11199.76002,12800.90689,[74.93942899906654]
6.0,-58.01735327,31.06909952,12399.86578,13699.65838,[74.97404973871262]
6.0,-44.31313851,47.03464388,13900.04508,15199.62429,[75.04652626347492]
6.0,-65.58080224,23.19044877,11499.74448,12799.39301,[74.8169440608607]
